"","Sample.ID","Longitude","Latitude","Elevation","Biome","Biome.Detail","Sample.Type","Location","Year.of.Sampling","Month.of.Sampling","pH","Dominant.Plants"
"51","GF03007988S",-118.499,47.9082,519,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.6,"Brassica napus"
"52","GF01012761S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"53","GF05021491S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"54","GF03004640S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","rhizosphere soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"55","GF01012780S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"56","GF01012762S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"57","GF01012741S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"58","GF01012763S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"59","GF03007992S",-119.755,47.958,800,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"60","GF01012505S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"61","GF01012742S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"62","GF01012765S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"63","GF01012506S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"64","GF01012766S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"65","GF03004667S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","rhizosphere soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"66","GF01012767S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"67","GF01012791S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"68","GF01012768S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"69","GF01012770S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"70","GF01012771S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"71","GF03007994S",-119.763,48.0013,861,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.4,"Brassica napus"
"72","GF01012773S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"73","GF01012772S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"74","GF01012515S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"75","GF01012811S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"76","GF01012774S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"77","GF05001343V",-122.11,47.53,359,"forest"," temperate coniferous forest biome","soil","USA,WA,Cougar Mt. Park",2014,"October",5.2,"NA_"
"78","GF03004687S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","root","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"79","GF03004689S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","root","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"80","GF01012775S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"81","GF01012776S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"82","GF03007995S",-119.763,48.0034,867,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"83","GF01012777S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"84","GF01012769S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"85","GF03007996S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",7.2,"Brassica napus"
"86","GF03004698S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"87","GF01012778S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"88","GF01012745S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"89","GF01012781S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"90","GF01012746S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"91","GF01012782S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"92","GF03007998S",-119.522,47.8394,693,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.7,"Brassica napus"
"93","GF03007999S",-118.502,47.9046,506,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"94","GF01012764S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"95","GF01012783S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"96","GF03004663S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"97","GF01012784S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"98","GF03008018S",-119.522,47.8394,693,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.7,"Brassica napus"
"99","GF01012785S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"100","GF01012786S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"101","GF01012796S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"102","GF03008000S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",7.2,"Brassica napus"
"103","GF01012788S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"104","GF03008001S",-119.763,48.0034,867,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.5,"Triticum aestivum"
"105","GF01012789S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"106","GF01012803S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"107","GF01012790S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"108","GF01012787S",-117.084,46.7807,783,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"109","GF01012792S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"110","GF01012793S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"111","GF03007997S",-118.48,47.8407,735,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.8,"Triticum aestivum"
"112","GF01012794S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"113","GF03004720S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"114","GF01012795S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"115","GF01012799S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"116","GF01012798S",-117.083,46.7822,797,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"117","GF01012759S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"118","GF01012800S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"119","GF03004811S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","rhizosphere soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"120","GF01012801S",-117.082,46.7831,793,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"121","GF01012802S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"122","GF01012804S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"123","GF03008004S",-118.48,47.8373,746,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.6,"Brassica napus"
"124","GF01012806S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"125","GF01012805S",-117.085,46.7796,792,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6,"Triticum aestivum"
"126","GF03004747S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"127","GF01012807S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"128","GF03008006S",-119.522,47.8355,698,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.6,"Triticum aestivum"
"129","GF03008007S",-118.499,47.9082,519,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.6,"Brassica napus"
"130","GF03008005S",-119.522,47.8394,693,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.7,"Brassica napus"
"131","GF01012808S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"132","GF01012809S",-117.086,46.7792,791,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"133","GF05021449S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"134","GF01012511S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"135","GF01012510S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"136","GF01012512S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"137","GF05001341V",-124.6,47.88,67,"forest"," temperate coniferous forest biome","soil","USA,WA,La Push",2014,"October",5.2,"NA_"
"138","GF03008014S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",7.2,"Triticum aestivum"
"139","GF03008015S",-119.763,48.0013,861,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.4,"Brassica napus"
"140","GF03008016S",-119.522,47.8355,698,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.6,"Triticum aestivum"
"141","GF03004725S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","soil","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"142","GF01012810S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"143","GF01012812S",-117.086,46.779,789,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"144","GF03004727S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"145","GF03008017S",-118.48,47.8407,735,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.8,"Triticum aestivum"
"146","GF03008019S",-119.763,48.0013,861,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.4,"Brassica napus"
"147","GF03008020S",-118.499,47.9082,519,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",6.6,"Brassica napus"
"148","GF03008021S",-119.755,47.958,800,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"149","GF03008011S",-119.757,47.9514,791,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.6,"Brassica napus"
"150","GF03008009S",-119.757,47.9514,791,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2016,"March",6.6,"Brassica napus"
"151","GF03007993S",-119.763,48.0034,867,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.5,"Triticum aestivum"
"152","GF01012813S",-117.083,46.7815,790,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
"153","GF03004777S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","root","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"154","GF03004782S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"155","GF03008022S",-118.48,47.8373,746,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",6.6,"Brassica napus"
"156","GF03008023S",-119.522,47.8394,693,"cropland","plantation","rhizosphere soil","Douglas County, east-central Washington",2015,"November",6.7,"Brassica napus"
"157","GF01012527S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"158","GF01012519S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"159","GF01012520S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"160","GF05021497S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Luetkia pectinata"
"161","GF01012518S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"162","GF05021473S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"163","GF05021475S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"164","GF05021505S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Saxifraga ferruginea"
"165","GF01012526S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"166","GF01012521S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"167","GF01012517S",-117.179,46.785,773,"cropland","cropland biome","soil","USA",2013,"NA_",6.2,"Triticum aestivum"
"168","GF05021495S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Abies lasiocarpa"
"169","GF01012529S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2012,"NA_",6,"Triticum aestivum"
"170","GF05021477S",-120.896,48.1706,1981,"desert","montane desert biome","topsoil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"NA_"
"171","GF01012530S",-117.114,46.7583,793,"cropland","cropland biome","soil","USA",2013,"NA_",6,"Triticum aestivum"
"172","GF03008024S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2015,"November",7.2,"Triticum aestivum"
"173","GF03004800S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"July",6.5,"Camassia quamash"
"174","GF05021502S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"175","GF03008025S",-118.406,46.9102,528,"cropland","plantation","rhizosphere soil","Adams County, east-central Washington",2016,"March",7.2,"Triticum aestivum"
"176","GF05021471S",-120.896,48.1706,1981,"desert","montane desert biome","rhizosphere soil","Lyman Glacier, Wenatchee National Forest, North Cascade Mountain",2009,"September",NA,"Phyllodoce empetriformis"
"177","GF03004810S",-117.25,46.79,685,"wetland","anthropogenic terrestrial biome","shoot","Albion, Whitman County, Washington",2016,"May",6.5,"Camassia quamash"
"178","GF01012814S",-117.085,46.7804,785,"cropland","cropland biome","soil","Washington State University Cook Agronomy Farm, Washington, USA",2016,"April",6.1,"Triticum aestivum"
